left_eye_img,x_coord
2727-0.jpg,128
4047-0.jpg,821
802-0.jpg,1138
3907-0.jpg,1550
490-0.jpg,1295
847-0.jpg,1115
2762-0.jpg,244
1080-0.jpg,873
3312-0.jpg,306
3727-0.jpg,12
1451-0.jpg,758
1886-0.jpg,579
3762-0.jpg,19
2502-0.jpg,1259
1414-0.jpg,615
3067-0.jpg,125
3824-0.jpg,616
1339-0.jpg,789
3201-0.jpg,81
1290-0.jpg,1018
1368-0.jpg,634
898-0.jpg,1355
3849-0.jpg,1014
3233-0.jpg,221
729-0.jpg,1542
1906-0.jpg,507
791-0.jpg,1221
1689-0.jpg,423
340-0.jpg,0
2426-0.jpg,537
305-0.jpg,0
2463-0.jpg,828
4136-0.jpg,816
1750-0.jpg,343
3402-0.jpg,444
3426-0.jpg,589
2605-0.jpg,1001
1381-0.jpg,529
1715-0.jpg,257
1806-0.jpg,570
497-0.jpg,1379
3463-0.jpg,830
1038-0.jpg,1108
3130-0.jpg,65
3076-0.jpg,32
3511-0.jpg,1150
1486-0.jpg,917
428-0.jpg,713
3196-0.jpg,101
2483-0.jpg,1070
2798-0.jpg,588
2669-0.jpg,299
578-0.jpg,1665
1608-0.jpg,835
1084-0.jpg,848
2286-0.jpg,106
218-0.jpg,0
2685-0.jpg,201
1403-0.jpg,585
3301-0.jpg,394
2044-0.jpg,82
2682-0.jpg,212
1711-0.jpg,285
535-0.jpg,1670
2253-0.jpg,12
2096-0.jpg,308
570-0.jpg,1665
2019-0.jpg,86
2216-0.jpg,197
610-0.jpg,1665
1125-0.jpg,867
3253-0.jpg,235
1966-0.jpg,348
3682-0.jpg,554
1205-0.jpg,1449
1160-0.jpg,1062
1923-0.jpg,475
3216-0.jpg,83
2598-0.jpg,1128
1925-0.jpg,467
3933-0.jpg,1323
2970-0.jpg,956
1509-0.jpg,1059
3695-0.jpg,414
1089-0.jpg,830
2741-0.jpg,141
744-0.jpg,1535
393-0.jpg,395
1730-0.jpg,269
3716-0.jpg,121
2152-0.jpg,481
2440-0.jpg,642
2911-0.jpg,1571
634-0.jpg,1663
3353-0.jpg,89
2117-0.jpg,403
1198-0.jpg,1409
671-0.jpg,1564
2954-0.jpg,1138
1001-0.jpg,1345
2367-0.jpg,202
4093-0.jpg,500
3583-0.jpg,1557
3152-0.jpg,141
1224-0.jpg,1523
3911-0.jpg,1517
2412-0.jpg,447
2689-0.jpg,197
1317-0.jpg,874
3117-0.jpg,120
2496-0.jpg,1207
3954-0.jpg,1328
1261-0.jpg,1195
3293-0.jpg,454
1348-0.jpg,744
1156-0.jpg,1034
1534-0.jpg,1220
3642-0.jpg,902
405-0.jpg,530
1571-0.jpg,1073
3607-0.jpg,1445
1573-0.jpg,1062
792-0.jpg,1208
2642-0.jpg,567
2794-0.jpg,550
2293-0.jpg,89
690-0.jpg,1382
1782-0.jpg,464
3668-0.jpg,643
2607-0.jpg,1000
1958-0.jpg,390
922-0.jpg,1488
1291-0.jpg,1005
2969-0.jpg,956
3386-0.jpg,288
76-0.jpg,752
2273-0.jpg,88
609-0.jpg,1665
3969-0.jpg,1521
2697-0.jpg,178
1219-0.jpg,1577
130-0.jpg,375
3543-0.jpg,1288
4053-0.jpg,770
1635-0.jpg,674
2086-0.jpg,255
3192-0.jpg,142
2993-0.jpg,790
1670-0.jpg,521
4016-0.jpg,1202
2192-0.jpg,316
2543-0.jpg,1493
3508-0.jpg,1149
1796-0.jpg,526
3645-0.jpg,867
2994-0.jpg,790
2506-0.jpg,1288
3782-0.jpg,228
3640-0.jpg,956
2042-0.jpg,66
508-0.jpg,1495
1521-0.jpg,1147
1118-0.jpg,850
1424-0.jpg,648
3263-0.jpg,259
782-0.jpg,1268
2167-0.jpg,393
338-0.jpg,0
3307-0.jpg,324
2618-0.jpg,911
470-0.jpg,1115
2889-0.jpg,1521
844-0.jpg,1104
1728-0.jpg,253
3889-0.jpg,1650
1802-0.jpg,542
3336-0.jpg,158
1803-0.jpg,543
1040-0.jpg,1108
2698-0.jpg,173
1491-0.jpg,957
2016-0.jpg,94
1552-0.jpg,1243
1846-0.jpg,778
3373-0.jpg,112
1005-0.jpg,1339
3931-0.jpg,1343
2567-0.jpg,1448
3649-0.jpg,852
2336-0.jpg,121
450-0.jpg,936
1546-0.jpg,1263
887-0.jpg,1295
2373-0.jpg,238
415-0.jpg,612
1650-0.jpg,619
1429-0.jpg,667
1447-0.jpg,738
1599-0.jpg,888
1790-0.jpg,503
3063-0.jpg,176
1341-0.jpg,768
3874-0.jpg,1458
3037-0.jpg,409
3831-0.jpg,739
1304-0.jpg,907
3072-0.jpg,65
3839-0.jpg,871
1946-0.jpg,419
751-0.jpg,1455
2874-0.jpg,1349
2037-0.jpg,30
380-0.jpg,274
3128-0.jpg,76
2831-0.jpg,897
714-0.jpg,1451
2072-0.jpg,198
2949-0.jpg,1190
1359-0.jpg,695
2123-0.jpg,434
569-0.jpg,1666
477-0.jpg,1207
2976-0.jpg,907
1777-0.jpg,445
1343-0.jpg,751
1179-0.jpg,1224
664-0.jpg,1646
1683-0.jpg,475
3567-0.jpg,1438
4077-0.jpg,518
1611-0.jpg,811
2628-0.jpg,766
3522-0.jpg,1187
